pipe,gen,dp_acc_reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"ordinal_enc,most_freq_imp,norm_scale,no_samp,k_best_sel",6,"(20, 0)",73564,0.05310556122922661,-1.0,0.7854113655640375,0.8186682462979818,0.22342679893123704,0.3842062193126025,0.8080601964035189,0.7073407875546918,0.4230228166483619
"woe_enc,most_freq_imp,norm_scale,over_samp,no_sel",6,"(20, 0)",73564,0.2903533682685096,-1.0,0.2748663383573328,0.3965139353131293,0.2119579920105178,0.2513377233961728,0.1327733110841423,0.19640594855220064,0.2119579920105178
"ordinal_enc,median_imp,norm_scale,no_samp,k_best_sel",6,"(20, 0)",73564,0.05301271933896569,-1.0,0.7854113655640375,0.8185639927533616,0.22333466416879064,0.3834494059811557,0.8080601964035189,0.7072553977825323,0.4229621370367119
"woe_enc,most_freq_imp,norm_scale,over_samp,k_best_sel",6,"(20, 0)",73564,0.2905259440395306,-1.0,0.2750522443502685,0.3971103396380083,0.2124032918689321,0.25159850070757217,0.13350715513754047,0.19687148438973096,0.2124032918689321
"onehot_enc,mean_imp,quant_scale,over_samp,no_sel",6,"(20, 0)",73564,0.3881795798355142,0.38750709900617175,0.18648743320047528,0.42061877551392896,0.19172039340614888,0.20878233990066744,0.16242604672330094,0.186264200378376,0.19172039340614888
"woe_enc,median_imp,norm_scale,no_samp,k_best_sel",6,"(20, 0)",73564,0.07900844861201382,-1.0,0.6692111959287531,0.7172720799988122,0.2059826172414852,0.3619094008767655,0.6658589465629392,0.5613961664016073,0.3629861075856765
"ordinal_enc,most_freq_imp,norm_scale,over_samp,k_best_sel",6,"(20, 0)",73564,0.3436177192638637,-1.0,0.4628468102385005,0.7316124482701936,0.321679055420712,0.3325916113738085,0.28908146237864085,0.3115247676167943,0.321679055420712
"ordinal_enc,most_freq_imp,norm_scale,no_samp,no_sel",6,"(20, 0)",73564,0.06879584068331637,-1.0,0.7514843087362167,0.7981898967262085,0.21961856208347375,0.3967684021543991,0.7428899375079703,0.6394527407672356,0.3982653571035006
"onehot_enc,most_freq_imp,norm_scale,over_samp,k_best_sel",6,"(20, 0)",73564,0.2310326093358039,-1.0,0.4793525017118636,0.5983905021288779,0.2689867136933657,0.29193443392668256,0.21382420610841416,0.2549266298226498,0.2689867136933657
"ordinal_enc,most_freq_imp,norm_scale,no_samp,k_best_sel",7,"(20, 0)",73564,0.05310556122922661,-1.0,0.7854113655640375,0.8186682462979818,0.22342679893123704,0.3842062193126025,0.8080601964035189,0.7073407875546918,0.4230228166483619
